;Acalcupr;Aescpygm;Andrschi;Aneiwelw;Anisdavy;Ascometa;Bewsbifl;Bracserr;Buchrand;Bulbcupr;Bulbfila;Bulbmacr;Bulbpseu;Champrat;ChloCf;Chlosubp;CommCf;Crotarge;Crotglau;Crypmara;Cyanlong;Cyannana;CypeCf;Cypesp4;Dihegran;Diplmart;Dolitrin;Endodiss;Eragrace;ErioCf;Erioengl;Erioflag;Erioshir;Euphzamb;Gladgreg;Gladledo;Haumprae;Haumrobe;Haumrosu;Helimech;Hibirhod;Ipomrect;Justeleg;Loudsimp;Micralte;Monocere;Moracars;Ocimfimb;Oxalobli;Pandcars;Panisp5;Pentschw;Pimpacut;Pleipulc;Poacsp6;Rhytrott;Sacctran;Schibrev;Sclebulb;Sopumann;Sporcong;Thesatru;Tinncoer;Tracspic;Trisbequ;Trisex;Trissupe;Triuwelw;Vernsp3;Vernsp6;Vernsupr;Xeroequi
FP1;5;3.75;3.125;0.75;0;0;1.25;0.25;0;0;0.625;0.625;0;0.25;0;0;0.5;0.625;0.25;4;0;0;0;1.75;0.25;0;0;6.875;0;0;6.25;0;0.625;0;0;0;1.125;0;0;1.875;0.25;0;0.625;14.375;0;0;0;0;0;0;0;0.25;0.625;0.625;4.375;13.125;0;0;0.375;0;0;0;0;5.625;1.25;0.125;3.25;0;0.75;0;0.625;0
FP2;1.25;0.25;4.375;1.75;0;0;0.25;0.25;0;0;1.75;0;0;0.875;0.875;0;0;0;0;33.125;0;0;0.25;0;0.25;0;0;9.375;0;0.25;3.125;0;0;0;0.25;0;0;0;0.625;0;0.25;0;1.125;10.625;0;0;0;0;0;0;0;0;2;1.25;1.25;2.75;0;0.25;1.25;0;0.125;0;0;1.875;1.25;0;4.375;0.25;0;0;0;0
FP3;0;1.25;6.25;0.875;0;0;0;1.5;0.5;0;0.5;0.875;0;0.125;0.5;0;0;0.25;0;31.25;0;0.125;0.5;0;0;0;0;9.375;0.125;0;4.375;0;1.5;0;0.25;0;1.125;0;1.125;0;2.75;0;0;4.25;0;0;0;0;0;0;0;0;4.625;0;3.75;1.125;0;2;3;0;0;0;0;2.5;2.75;0;3.75;0;0.25;0;2.5;0
FP4;0.25;0;3.75;1.25;0;0;0.25;4.375;0;0;0;0;0;0.5;0.5;0;0.25;0.875;0.25;48.75;0;0;0.625;0.25;0.25;0;0;6.875;0;0;16.25;0;0;0;0.25;0;0.25;0;0.25;0.25;0.875;0;0;15.625;0;0;0;0;0;0;0;0;0.875;0;5;0.875;0;0.125;0.75;0;0;0;1.25;3.25;9;0;1.75;1.25;0.25;0;0.25;0
FP5;0;0;4;0.25;0;0;0.25;3.125;0;0;0.25;0.25;0;0;0.375;0;0.125;0.375;0;22.5;0.25;0;0.25;0.25;0;0;0;3.75;0;0;8.75;0;0;0.25;0;0;0.25;0;1.75;0;1.25;0.125;0.25;5.625;0;0;0;0;0;0;0;0;1.5;0.875;1.25;1.5;0;0.625;0.75;0;0;0;0;3.125;2.5;0;0.5;1.25;0.375;0;0.625;0
FP6;0.625;0.25;6.875;1.125;0;0;0;1.25;0.25;0;0.875;2.5;0;0;0.875;0;0;2.375;0;38.125;0;0.5;0;0;0;0;0;5;0;0;3.75;0;1.25;0;0.75;0;0.25;0;1.75;3.75;0.625;0;0.25;3.125;0;0;0;0.875;0;0;0.25;0;2;0;2.5;1.375;0;1.125;1.75;0;0;0;0;1.875;4.375;0;2.5;0;0;0;0.375;0
FP7;0;0.625;6.25;0.625;0;0;0;3.125;0.5;0;1.125;0.25;1.5;0;1.125;0;0.875;1.125;0;27.5;0.125;2.125;0;0;0.25;0;0;10.625;0;0.25;7.125;0;1.875;0;0.25;0.125;0.625;0;2.125;0;0.25;0;0;6.25;0;0;0;0;0;0;0;0;0.875;0.625;1.25;2.75;2.75;0;1;0;0;0;0;0.625;3.75;0;0.625;0;0;0;1.375;0
FP8;3.75;0;9.375;0;0;0.125;0;1.125;0.25;0;1.5;0.625;0.625;0;0.25;0;0.625;0;0;8.125;0;2.375;0;0;0.25;4.375;0;0.25;0;0;0.625;0.25;0;0;0.5;0.25;1.875;0;0.875;0;0;0;0.625;4.625;0;0;0;0;0;0;0.625;0;0.5;0;0;0.625;1.25;11.375;0.75;0;0;0;0;4;1.5;0;0;0;0;0;1.5;0
FP9;2.5;0;5;0.5;0;0;0;2.375;0;0;0.25;0.25;0;0;0.25;0;0.25;0.125;0;14.375;0;0;0;0;0.5;0;0.25;5.25;0;0;5.625;0;0;0.25;0;0;0.25;0;1.875;0.125;1.5;0;0.5;17.5;0;1.25;0;0.625;0;0;0;0.625;0.75;0.125;5;6.25;0;8.375;0.875;0;0;0;0;4.375;0;0;4.625;0;0;0;0.25;0
FP10;5.75;0;14.375;0.25;0;0.25;0;2;0.5;0;2.75;1.875;1.25;0;3.375;0.125;0.25;0;0;21.25;0.5;0.625;0;0;0;0;0;0;0;0;0;0;0;0.625;0;0.25;0.625;0;2.125;0;0;0;0.125;3.75;0;0.625;0.25;0;0;0;0;0;0;0;0.375;0;1.25;0;1.125;0;0.25;0;0;2.875;1.25;0;0;0;0;0.125;0.5;0
FP11;11.375;0;7.5;0;0;0;0;0;0.25;0;2.125;0.625;0;0;1.5;0;0;0;0;1.25;0.25;0;0;0;0.625;0.375;0;0;0;0;1.25;0;0.25;0.625;0;0.25;0;0;0;0;0;0.25;1.625;8.75;2.5;6.5;0;0;0;1.25;0;0;0.25;0;0;0;0;0;0.25;0;0;0;0;2.125;0;0;1.875;1.625;0;0;0;1.875
FP12;5.25;0;5.625;0;0.25;2.5;0;0;0;0.25;1.25;0;0;0;0;0.25;0;0;0;3.125;0.25;0;0.25;0;0.5;0;0;0;0;0;11.25;0;0;0.25;0;0.5;2.5;5;0;0;0;0.25;0.25;5;3.75;0;0;0;0;0.875;0;0;0;0;0;0.25;0;0;0;0;0;0.25;0;0;1.25;0;0;7.75;0;0;1.25;7.75
FP13;1.25;0;5;0;0.625;0.25;3.75;0;0.625;0.625;1.25;0;0;0;1.875;0.25;0;0;0;1.25;0.25;0;0;0;0.25;0;0;0;0;0;0;0;0;0.625;0.25;0.125;0;0;0.125;0;0.25;0;1.5;1.875;20;1.25;0.125;0;0;0.25;0;0;0.25;0;0;0;0;0;1.25;0.25;0;0;0;0;1.25;0;1.25;0;0;0;0;5.625
FP14;2.5;0;5;0;1.5;0;0;0;0;0.25;2.5;0;0;0;1.75;0.375;0;0;0;0;1.125;0.25;0;0;0.25;1.125;0;0;0;0;0;0;0;1.875;0;0.25;3.125;0.75;0;0;0;0;1.875;8.75;3.75;4;0;0;6.5;1.25;0;0;0;0;0;0;0.25;0;0;0;4.375;1.25;0;1.25;0;0;0;3.75;0;0;0;3.125
FP15;1.25;0;6.875;0;1.125;0.875;0;0.125;0;0.75;1.5;0;0;0;2.75;0.125;0;0;0;0;1.25;0.25;0;0;0;2.125;0;0;0;0;0;0;0;0;0;0;0;0.75;0;0;0;0.875;1.375;2.5;7.5;4;0.25;0;1.25;0.875;0;0;0;0;0;0;0;0;0;0;0;0.125;0;1.5;0;0;0;2.5;0;0;0;5.625
FP16;1.125;0;2.5;0;2.125;2;0;0;0.625;4.625;0.5;0;0;0;0.5;0.125;0;0;0;0;0.25;0;0;0;0;0.25;0;0;0;0;0;0.25;0;1.875;0;0.25;0;0.625;0;0;0;0.5;0.625;1.875;17.5;6.25;0.25;0;1.25;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.875;0;0;0;0.25;0;0;0;4.625
FP17;5;0;3.75;0;3.75;1.5;0;0;0;0.625;5.25;0;0;0;0.25;0.25;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0.25;0;0;0;0;0;0.25;0.75;6.5;10.625;1.875;0.25;0;0;2.125;0.625;0;0;0;0;0;0;0;0;0;5;3.125;0;0.625;0;0;0;0.625;0;0;1.25;5.375
FP18;1.5;0;8.75;0;2.75;3.125;0;0.25;0;0.875;1.375;0;0;0;0.5;1.5;0;0;0;0;0.75;0;0;0;0;0.75;0;0;0;0;0;0;0;0;0;0.125;0;1.5;0;0;0;0;0.625;7.5;3.75;5;0.25;0;1.25;4.375;0;0;0;0;0;0;0;0;0;0;0;0;0;0.625;0;0;0;0;0;0;0;3.375
FP19;0;0;5.125;0;6.25;11.5;0;0;0;0.875;1.125;0;0;0;1.5;0.375;0;0;0;0;0.25;0;0;0;0;0;0;0;2.5;0;0;0.25;0;0;0.25;0;0;6.5;0;0;0;0.5;0;10.75;0;0;0;0;7.5;4.375;0;0;0;0;0;0;0;0;0;0;2.5;0.5;0;0.25;0;0;0;0;0;0;0;5.625
FP20;0;0;7.5;0;2.375;26.25;0;0;0;0.5;1.875;0;7.5;0;0;1.25;0;0;0;0;2.375;0;0;0;0;0;0;0;0;0;0;0.375;0;0;0;0;0;15.125;0;0;0;2.75;3.75;3.75;1.25;0.25;0.375;0;0;5;0;0;0;0;0;0;0;0;0;0;3.125;0;0;0;0;0;0;0.125;0;0;0;5.625
FP21;0.25;0;6.875;0;1.46875;21.5625;0;0.25;0;3.875;1.71875;0;8.125;0;0;3.0625;0;0;0;0;1.46875;0;0;0;0;1.25;0;0;0;0;0;0.09375;0;0;0;0;0;23.15625;0;0;0;0.6875;0.9375;8.4375;1.5625;0.0625;0.09375;0;5;6.5;0;0;0;0;0;0;0;0;0;0;0.78125;0;0;0;0;0;0;0.03125;0;0;0;5.78125
