;TerreFine;ElmtsGros;pH;C;N;CN;Cu;Co;Zn;Mn;Fe;K;Mg;Ca;P;Sp
FP1;88.83104579;8.652523007;5.53;1.757430428;0.106289406;16.42887078;138.84275;21.271375;1.01675;11.131025;7.104175;5.684625;10.674375;15.3875;0.718;35
FP2;89.94225767;8.975108812;5.6825;2.151400979;0.126776754;16.88815343;221.31925;22.821;1.13875;10.981475;8.2667875;6.727;13.85125;17.4934375;0.7753125;31
FP3;83.99771561;14.79384597;5.54;1.910796713;0.11739411;16.23689308;277.3825;24.171875;1.24775;11.1783;7.7449;5.52525;12.59125;10.510625;0.9348125;32
FP4;88.28609959;9.879462786;5.805;2.232304233;0.127514276;17.45971359;326.743625;23.2805;1.0575;10.230875;7.5248375;4.915125;15.41;24.0746875;0.893625;34
FP5;82.28145936;16.83546291;5.7475;2.412739202;0.139700616;17.2144569;359.2135;21.8345;1.18475;9.033575;8.32395;4.97375;16.305;25.30375;1.0655625;34
FP6;79.32614506;15.56056773;5.84;2.321994749;0.132303469;17.463459;437.046625;22.87075;1.205;8.375325;7.062525;4.635625;14.91;24.3890625;0.9491875;33
FP7;81.32468041;17.54482351;5.4625;1.900634622;0.118343575;16.02106605;531.06375;13.937875;1.335125;5.3658125;7.850225;4.1228125;8.326875;8.9690625;1.137375;35
FP8;75.70382267;23.55557208;6.015;2.60700068;0.13523699;19.48079868;619.35;19.547875;1.97875;4.581275;5.8838625;5.054625;13.943125;30.55;1.1158125;32
FP9;86.6106466;12.57218912;6.1;2.99368241;0.167849096;17.82181185;708.6925;35.905625;1.312875;9.1828875;6.59215;5.6275;17.444375;52.8059375;1.182125;33
FP10;76.37346712;21.26817629;5.9575;3.36678302;0.181539678;18.53179663;901.7775;22.70125;1.7405;3.9443125;6.8264875;5.61025;13.66875;47.3953125;1.9114375;31
FP11;80.4348537;18.82748167;6.1425;4.043206077;0.238448722;17.17895814;1324.2875;52.439;3.140875;4.729125;7.2217125;5.0135;19.2875;93.751875;5.4199375;26
FP12;66.22763358;30.36376795;6.3575;4.38469243;0.290626915;15.24421115;1764.675;55.935;2.872875;4.358375;6.989475;6.306625;23.249375;109.6978125;4.5185625;27
FP13;63.57497523;36.07227168;6.7625;4.345693648;0.272713397;15.40143967;2328.1125;216.01975;5.1745;7.8843625;7.1340625;7.21875;39.15625;154.4265625;8.815625;30
FP14;81.35053736;17.3864997;6.3525;4.871173828;0.308054521;16.279047;2689.6625;102.73875;1.834375;5.6425375;4.790225;5.273125;20.259375;72.71625;4.455875;27
FP15;68.40297909;29.46666965;6.415;5.117770417;0.327034246;15.64700677;3406.675;180.7545;3.371125;9.5574375;6.5965;5.252125;41.766875;101.665;6.9753125;25
FP16;58.65377767;39.7335586;6.66;4.649501206;0.323382771;14.12102056;4040.225;290.923375;3.411125;8.68055;6.7683125;4.4485;25.059375;80.903125;10.7949375;26
FP17;73.2985766;26.849678;6.71;2.791745651;0.188608503;15.0124308;4273.1;285.58725;2.39925;7.8171375;7.3832625;3.88885;27.495625;75.8996875;7.3194375;25
FP18;62.31715426;31.29623858;5.995;6.758302659;0.412308674;17.15467999;4978.0375;174.936625;2.560625;4.588975;4.805475;6.611875;13.83125;51.955;17.174875;22
FP19;66.53655073;31.7036271;6.18;6.294481886;0.376205211;16.63089603;5865.025;193.271375;1.499625;4.3593;2.3930625;3.4094875;9.268125;35.4065625;7.4430625;20
FP20;62.01580746;35.55583673;6.475;5.450882624;0.344017927;15.94139492;6330.0875;305.40725;2.67575;5.2948625;3.782525;5.335;12.124375;49.5853125;6.219125;20
FP21;64.27001922;34.35895893;6.68;4.367801877;0.27500254;16.10038981;6650.833333;441.0785;2.64;5.066433333;4.255383333;3.5024;13.6025;59.26166667;7.267416667;24
